code10,univtxt
1080370310,秋田大 国際資源 国際／資源地 前
1080370320,秋田大 国際資源 国際／資源地 後
1080370410,秋田大 国際資源 国際／資源開 前
1080370420,秋田大 国際資源 国際／資源開 後
1080390010,秋田大 情報デー  前
1080390020,秋田大 情報デー  後
1080390111,秋田大 情報デー 情報データ科 前
1080390112,秋田大 情報デー 情報データ科 前
1080390113,秋田大 情報デー 情報データ科 前
1080390120,秋田大 情報デー 情報データ科 後
1080480010,秋田大 総合環境  前
1080480020,秋田大 総合環境  後
1080480111,秋田大 総合環境 応用化学生物 前
1080480112,秋田大 総合環境 応用化学生物 前
1080480120,秋田大 総合環境 応用化学生物 後
1080480211,秋田大 総合環境 環境数物科学 前
1080480212,秋田大 総合環境 環境数物科学 前
1080480220,秋田大 総合環境 環境数物科学 後
1080480311,秋田大 総合環境 社会シス工 前
1080480312,秋田大 総合環境 社会シス工 前
1080480320,秋田大 総合環境 社会シス工 後
1080550010,秋田大 医  前
1080550020,秋田大 医  後
1080550110,秋田大 医 医 前
1080550121,秋田大 医 医 後
1080550122,秋田大 医 医 後
1080550310,秋田大 医 保健／看護学 前
1080550320,秋田大 医 保健／看護学 後
1080550410,秋田大 医 保健／理学療 前
1080550420,秋田大 医 保健／理学療 後
1080550510,秋田大 医 保健／作業療 前
1080550520,秋田大 医 保健／作業療 後
1120180010,埼玉大 経済  前
1120180020,埼玉大 経済  後
1120180213,埼玉大 経済 経済 前
1120180214,埼玉大 経済 経済 前
1120180220,埼玉大 経済 経済 後
1120300010,埼玉大 教育  前
1120300020,埼玉大 教育  後
1120300610,埼玉大 教育 養護教諭 前
1120303310,埼玉大 教育 学校／国語 前
1120303410,埼玉大 教育 学校／社会 前
1120303610,埼玉大 教育 学校／理科 前
1120303710,埼玉大 教育 学校／音楽 前
1120303720,埼玉大 教育 学校／音楽 後
1120303910,埼玉大 教育 学校／保健体 前
1120304210,埼玉大 教育 学校／英語 前
1120307710,埼玉大 教育 学校／算数数 前
1120307810,埼玉大 教育 学校／図工美 前
1120307820,埼玉大 教育 学校／図工美 後
1120307910,埼玉大 教育 学校／技術情 前
1120307920,埼玉大 教育 学校／技術情 後
1120308010,埼玉大 教育 学校／家庭科 前
1120308020,埼玉大 教育 学校／家庭科 後
1120308110,埼玉大 教育 学校／教育学 前
1120308210,埼玉大 教育 学校／臨床教 前
1120308310,埼玉大 教育 学校／心理発 前
1120308410,埼玉大 教育 学校／乳幼児 前
1120308420,埼玉大 教育 学校／乳幼児 後
1120308510,埼玉大 教育 学校／特別支 前
1120370010,埼玉大 教養  前
1120370020,埼玉大 教養  後
1120370110,埼玉大 教養 教養 前
1120370120,埼玉大 教養 教養 後
1120420010,埼玉大 理  前
1120420020,埼玉大 理  後
1120420110,埼玉大 理 基礎化 前
1120420120,埼玉大 理 基礎化 後
1120420210,埼玉大 理 数学 前
1120420220,埼玉大 理 数学 後
1120420310,埼玉大 理 分子生物 前
1120420320,埼玉大 理 分子生物 後
1120420410,埼玉大 理 生体制御 前
1120420420,埼玉大 理 生体制御 後
1120420510,埼玉大 理 物理 前
1120420520,埼玉大 理 物理 後
1120460010,埼玉大 工  前
1120460020,埼玉大 工  後
1120460110,埼玉大 工 応用化 前
1120460120,埼玉大 工 応用化 後
1120460810,埼玉大 工 機械工学・シ 前
1120460820,埼玉大 工 機械工学・シ 後
1120460910,埼玉大 工 電気電子物理 前
1120460920,埼玉大 工 電気電子物理 後
1120461010,埼玉大 工 情報工 前
1120461020,埼玉大 工 情報工 後
1120461110,埼玉大 工 環境社会デザ 前
1120461120,埼玉大 工 環境社会デザ 後
1085270010,山形大 人文社会  前
1085270020,山形大 人文社会  後
1085270110,山形大 人文社会 人文／人間文 前
1085270120,山形大 人文社会 人文／人間文 後
1085270210,山形大 人文社会 人文／グロー 前
1085270310,山形大 人文社会 人文／法政経 前
1085270320,山形大 人文社会 人文／法政経 後
1085300010,山形大 教育  前
1085303910,山形大 教育 学校／小学校 前
1085304010,山形大 教育 学校／中学校 前
1085304110,山形大 教育 学校／理数系 前
1085304210,山形大 教育 学校／心理支 前
1085420010,山形大 理  前
1085420020,山形大 理  後
1085420610,山形大 理 理 前
1085420620,山形大 理 理 後
1085460010,山形大 工  前
1085460020,山形大 工  後
1085460110,山形大 工 機械シス工 前
1085460120,山形大 工 機械シス工 後
1085461010,山形大 工 高分子・有機 前
1085461020,山形大 工 高分子・有機 後
1085461310,山形大 工 建築・デザイ 前
1085461320,山形大 工 建築・デザイ 後
1085461410,山形大 工 化学／応用化 前
1085461420,山形大 工 化学／応用化 後
1085461510,山形大 工 化学／バイオ 前
1085461520,山形大 工 化学／バイオ 後
1085461610,山形大 工 情報／情報知 前
1085461620,山形大 工 情報／情報知 後
1085461710,山形大 工 情報／電気電 前
1085461720,山形大 工 情報／電気電 後
1085540010,山形大 工フレ  前
1085540020,山形大 工フレ  後
1085540910,山形大 工フレ システム創成 前
1085540920,山形大 工フレ システム創成 後
1085550010,山形大 医  前
1085550020,山形大 医  後
1085550111,山形大 医 医 前
1085550113,山形大 医 医 前
1085550210,山形大 医 看護 前
1085550220,山形大 医 看護 後
1085720010,山形大 農  前
1085720020,山形大 農  後
1085720410,山形大 農 食料生命環境 前
1085720420,山形大 農 食料生命環境 後
1085880010,山形大 社会共創  前
1085880020,山形大 社会共創  後
1090270010,福島大 人文社会  前
1090270020,福島大 人文社会  後
1090270410,福島大 人文社会 行政政策学類 前
1090270420,福島大 人文社会 行政政策学類 後
1090270510,福島大 人文社会 経済経営学類 前
1090270520,福島大 人文社会 経済経営学類 後
1090270621,福島大 人文社会 人間発達文化 後
1090270622,福島大 人文社会 人間発達文化 後
1090271210,福島大 人文社会 人間／教育実 前
1090271311,福島大 人文社会 人間／心理学 前
1090271312,福島大 人文社会 人間／心理学 前
1090271410,福島大 人文社会 人間／特別支 前
1090271510,福島大 人文社会 人間／数理自 前
1090271610,福島大 人文社会 人間／スポー 前
1090271711,福島大 人文社会 人間／人文科 前
1090271712,福島大 人文社会 人間／人文科 前
1090271713,福島大 人文社会 人間／人文科 前
1090271811,福島大 人文社会 人間／芸術表 前
1090271812,福島大 人文社会 人間／芸術表 前
1090470010,福島大 理工  前
1090470020,福島大 理工  後
1090470110,福島大 理工 共生システム 前
1090470120,福島大 理工 共生システム 後
1090740010,福島大 農  前
1090740020,福島大 農  後
1090740110,福島大 農 食農学類 前
1090740120,福島大 農 食農学類 後
1093270010,筑波技大 共生社会  前
